atividade_principal,data_situacao,tipo,nome,efr,telefone,email,situacao,bairro,logradouro,numero,cep,municipio,fantasia,porte,abertura,natureza_juridica,uf,cnpj,ultima_atualizacao,status,complemento,motivo_situacao,situacao_especial,data_situacao_especial,atividades_secundarias,capital_social,qsa,message,atividade_principal_code,possui_atividade_secundaria,atividade_secundaria_list,is_ativo,tem_situacao_especial,natureza_juridica_code,idade_empresa,tem_socios,socios_list,socios_count
Atividades de associações de defesa de direitos sociais,03/11/2005,MATRIZ,FUNDACAO CULTURAL DE RADIODIFUSAO EDUC DA REG DOS LAGOS,,(21) 2224-1686 / (21) 2232-1814,,ATIVA,CURICICA,ESTRADA DOS BANDEIRANTES,5920,22.780-083,RIO DE JANEIRO,ECO TV REDE LIT TELEVISAO,DEMAIS,09/11/1988,Fundação Privada,RJ,31.842.636/0001-04,2020-07-04T23:59:59.000Z,OK,PARTE,,,,"[{'text': 'Atividades de organizações associativas ligadas à cultura e à arte', 'code': '94.93-6-00'}, {'text': 'Atividades associativas não especificadas anteriormente', 'code': '94.99-5-00'}]",0.0,"[{'qual': '16-Presidente', 'nome': 'ANA DE AVA CAMARA PEREIRA DA SILVA'}]",,94.30-8-00,1,"['Atividades associativas não especificadas anteriormente', 'Atividades de organizações associativas ligadas à cultura e à arte']",1,1,306-9,31,1,['ANA DE AVA CAMARA PEREIRA DA SILVA'],1
Atividades de televisão aberta,03/11/2005,MATRIZ,RADIO E TV BANDEIRANTES DE CAMPINAS S.A.,,(19) 3779-7439/ (19) 3779-7442,spacheco@band.com.br,ATIVA,VILA NOVA,R CONSELHEIRO ANTONIO PRADO,565,13.073-068,CAMPINAS,,DEMAIS,02/03/1967,Sociedade Anônima Fechada,SP,46.049.326/0001-04,2020-08-24T19:48:20.609Z,OK,SALA 2,,,,"[{'text': 'Atividades de rádio', 'code': '60.10-1-00'}]",23990019.28,"[{'qual': '10-Diretor', 'nome': 'JOAO CARLOS SAAD'}, {'qual': '10-Diretor', 'nome': 'SILVIA SAAD JAFET'}]",,60.21-7-00,1,['Atividades de rádio'],1,1,205-4,53,1,"['JOAO CARLOS SAAD', 'SILVIA SAAD JAFET']",2
Educação superior - graduação,03/11/2005,MATRIZ,FUNDACAO UNIVERSIDADE DE CAXIAS DO SUL,,(54) 3218-2100/ (54) 3218-2128,fucs@ucs.br,ATIVA,PETROPOLIS,R FRANCISCO GETULIO VARGAS,1130,95.070-560,CAXIAS DO SUL,UCS,DEMAIS,22/02/1968,Fundação Privada,RS,88.648.761/0001-03,2020-08-20T22:11:26.605Z,OK,CIDADE UNIVERSITARIA,,,,"[{'text': 'Educação superior - pós-graduação e extensão', 'code': '85.33-3-00'}]",0.0,"[{'qual': '16-Presidente', 'nome': 'JOSE QUADROS DOS SANTOS'}]",,85.31-7-00,1,['Educação superior - pós-graduação e extensão'],1,1,306-9,52,1,['JOSE QUADROS DOS SANTOS'],1
Administração pública em geral,15/01/2005,MATRIZ,MUNICIPIO DE IMBITUVA,MUNICÍPIO DE IMBITUVA,,,ATIVA,CENTRO,RUA PREF JOSE BUHRER JUNIOR,462,84.430-000,IMBITUVA,IMBITUVA PREF GABINETE DO PREFEITO,DEMAIS,27/12/1974,Município,PR,76.175.892/0001-23,2020-07-04T23:59:59.000Z,OK,,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",0.0,[],,84.11-6-00,0,[],1,1,124-4,45,0,[],0
Administração pública em geral,03/11/2005,MATRIZ,MUNICIPIO DE RODEIO BONITO,MUNICÍPIO DE RODEIO BONITO,(55) 3798-1155,,ATIVA,CENTRO,AVENIDA DO COMERCIO,196,98.360-000,RODEIO BONITO,MUNICIPIO DE RODEIO BONITO,DEMAIS,08/02/1974,Município,RS,87.613.204/0001-86,2020-07-04T23:59:59.000Z,OK,,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",0.0,[],,84.11-6-00,0,[],1,1,124-4,46,0,[],0
Administração pública em geral,21/06/2003,MATRIZ,MUNICIPIO DE SAO JOAO EVANGELISTA,MUNICÍPIO DE SAO JOAO EVANGELISTA,(033) 4121-390,,ATIVA,CENTRO,R BENEDITO VALADARES,40,39.705-000,SAO JOAO EVANGELISTA,SAO JOAO EVANGELISTA GABINETE PREFEITO,DEMAIS,26/12/1974,Município,MG,18.307.488/0001-60,2020-07-18T01:05:44.015Z,OK,,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",0.0,[],,84.11-6-00,0,[],1,1,124-4,45,0,[],0
Administração pública em geral,12/03/2005,MATRIZ,MUNICIPIO DE SAO JOSE DA SAFIRA,MUNICÍPIO DE SAO JOSE DA SAFIRA,,,ATIVA,CENTRO,PRACA CONEGO LAFAYETE,03,39.785-000,SAO JOSE DA SAFIRA,SAO JOSE DA SAFIRA PREF GABINETE DO PREFEITO,DEMAIS,26/12/1974,Município,MG,18.409.235/0001-05,2020-07-04T23:59:59.000Z,OK,,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",0.0,[],,84.11-6-00,0,[],1,1,124-4,45,0,[],0
Administração pública em geral,14/10/2005,MATRIZ,MUNICIPIO DE MACAPARANA,MUNICÍPIO DE MACAPARANA,,,ATIVA,,R DOUTOR ANTONIO XAVIER,SN,55.865-000,MACAPARANA,MACAPARAMA GABINETE PREFEITO,DEMAIS,30/12/1974,Município,PE,11.361.888/0001-04,2020-08-04T14:42:55.371Z,OK,,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",0.0,[],,84.11-6-00,0,[],1,1,124-4,45,0,[],0
Administração pública em geral,25/03/2005,MATRIZ,MUNICIPIO DE VICOSA,MUNICÍPIO DE VICOSA,,,ATIVA,CENTRO,R OZEAS PINTO,40,59.815-000,VICOSA,VICOSA GABINETE DO PREFEITO,DEMAIS,26/12/1974,Município,RN,08.158.198/0001-48,2020-08-04T18:07:59.024Z,OK,,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",0.0,[],,84.11-6-00,0,[],1,1,124-4,45,0,[],0
Atividades de organizações religiosas ou filosóficas,27/08/2005,MATRIZ,VICE PROVINCIA DOS FRADES MENORES CAPUCHINHOS DO AMAZONAS E RORAIMA,,(92) 8228-6243,economo.viprocar@live.com,ATIVA,CENTRO,R TAPAJOS,64,69.010-150,MANAUS,VIPROCAR,DEMAIS,07/07/1967,Associação Privada,AM,04.376.794/0001-43,2020-08-14T14:32:49.190Z,OK,PROC 26616/91,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",0.0,"[{'qual': '16-Presidente', 'nome': 'CARLO CHISTOLINI'}]",,94.91-0-00,0,[],1,1,399-9,53,1,['CARLO CHISTOLINI'],1
Atividades de rádio,03/04/2003,MATRIZ,CEARASAT COMUNICACAO LTDA,,,,ATIVA,DIONISIO TORRES,R CORONEL ALVES TEIXEIRA,1905,60.130-001,FORTALEZA,ALDEIASAT,EMPRESA DE PEQUENO PORTE,03/04/2003,Sociedade Empresária Limitada,CE,05.642.981/0001-94,2020-07-08T07:45:47.847Z,OK,SALA 08,,,,"[{'text': 'Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica', 'code': '70.20-4-00'}, {'text': 'Atividades de gravação de som e de edição de música', 'code': '59.20-1-00'}, {'text': 'Casas de festas e eventos', 'code': '82.30-0-02'}, {'text': 'Serviços de organização de feiras, congressos, exposições e festas', 'code': '82.30-0-01'}, {'text': 'Produção musical', 'code': '90.01-9-02'}, {'text': 'Agências de publicidade', 'code': '73.11-4-00'}]",20000.0,"[{'qual': '49-Sócio-Administrador', 'nome': 'ANTONIO DONIZETE ARRUDA LINHARES'}, {'qual': '22-Sócio', 'nome': 'VITORIA PINHEIRO ARRUDA LINHARES'}]",,60.10-1-00,1,"['Agências de publicidade', 'Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica', 'Atividades de gravação de som e de edição de música', 'Casas de festas e eventos', 'Produção musical', 'Serviços de organização de feiras, congressos, exposições e festas']",1,1,206-2,17,1,"['ANTONIO DONIZETE ARRUDA LINHARES', 'VITORIA PINHEIRO ARRUDA LINHARES']",2
Administração pública em geral,27/08/2005,MATRIZ,MUNICIPIO DE SAO LOURENCO,MUNICÍPIO DE SAO LOURENCO,,,ATIVA,CENTRO,PRACA DUQUE DE CAXIAS,61,37.470-000,SAO LOURENCO,SAO LOURENCO GABINETE PREFEITO,DEMAIS,19/12/1974,Município,MG,18.188.219/0001-21,2020-07-04T23:59:59.000Z,OK,,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",0.0,[],,84.11-6-00,0,[],1,1,124-4,45,0,[],0
********,31/12/2008,MATRIZ,FUNDACAO DE EDUCACAO CULTURAL E ARTISTICA DE S.LOURENCO,,,,BAIXADA,CENTRO,RUA MELO VIANA,533,37.470-000,SAO LOURENCO,EDUCART,DEMAIS,20/10/1989,Fundação Privada,MG,19.094.010/0001-61,2020-07-04T23:59:59.000Z,OK,CASA 2,INAPTIDAO (LEI 11.941/2009 ART.54),,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",0.0,"[{'qual': '16-Presidente', 'nome': 'DAVID SOARES MENDES'}, {'qual': '18-Qualificação não cadastrada: 18', 'nome': 'GABRIEL FERRER DE ANDRADE'}, {'qual': '33-Qualificação não cadastrada: 33', 'nome': 'BERNARDINO SOARES MENDES'}, {'qual': '18-Qualificação não cadastrada: 18', 'nome': 'TEREZINHA DOS SANTOS MENDES'}]",,00.00-0-00,0,[],0,1,306-9,30,1,"['BERNARDINO SOARES MENDES', 'DAVID SOARES MENDES', 'GABRIEL FERRER DE ANDRADE', 'TEREZINHA DOS SANTOS MENDES']",4
Atividades de rádio,03/11/2005,MATRIZ,RADIO AIMORES LTDA,,,,ATIVA,CENTRO,PRACA ALOYS BENZ,34,35.200-000,AIMORES,RADIO AIMORES,MICRO EMPRESA,22/03/1972,Sociedade Empresária Limitada,MG,16.979.031/0001-76,2020-07-04T23:59:59.000Z,OK,,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",57000.0,"[{'qual': '49-Sócio-Administrador', 'nome': 'CARLOS JANSEN CAMPOS CREMASCO'}, {'qual': '22-Sócio', 'nome': 'JAENA LUCIA CAMPOS CREMASCO'}]",,60.10-1-00,0,[],1,1,206-2,48,1,"['CARLOS JANSEN CAMPOS CREMASCO', 'JAENA LUCIA CAMPOS CREMASCO']",2
Atividades de televisão aberta,03/11/2005,MATRIZ,TELEVISAO PIRAPITINGA LTDA,,,,ATIVA,JARDIM PRIMAVERA,AVENIDA DOS GIRASSOIS,95,75.701-970,CATALAO,,DEMAIS,14/10/1988,Sociedade Empresária Limitada,GO,24.993.164/0001-25,2020-07-04T23:59:59.000Z,OK,C\ RUA DOS MIOSOTIS,,,,"[{'text': 'Atividades de rádio', 'code': '60.10-1-00'}, {'text': 'Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet', 'code': '63.11-9-00'}, {'text': 'Portais, provedores de conteúdo e outros serviços de informação na internet', 'code': '63.19-4-00'}, {'text': 'Outras atividades de publicidade não especificadas anteriormente', 'code': '73.19-0-99'}]",1174000.0,"[{'qual': '49-Sócio-Administrador', 'nome': 'GULIVER AUGUSTO LEAO'}, {'qual': '49-Sócio-Administrador', 'nome': 'CRISTIANO RORIZ CAMARA'}, {'qual': '22-Sócio', 'nome': 'SERGIO CAMILO CAMARA'}, {'qual': '22-Sócio', 'nome': 'DANIELLE DE MORAES CAMARA CARRIJO'}, {'qual': '22-Sócio', 'nome': 'FERNANDA BORGES CAMARA'}]",,60.21-7-00,1,"['Atividades de rádio', 'Outras atividades de publicidade não especificadas anteriormente', 'Portais, provedores de conteúdo e outros serviços de informação na internet', 'Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet']",1,1,206-2,31,1,"['CRISTIANO RORIZ CAMARA', 'DANIELLE DE MORAES CAMARA CARRIJO', 'FERNANDA BORGES CAMARA', 'GULIVER AUGUSTO LEAO', 'SERGIO CAMILO CAMARA']",5
Atividades de televisão aberta,15/06/2011,MATRIZ,SISTEMA DE TELEVISAO CERRADO LTDA,,(99) 9881-1050,,ATIVA,VIVENDAS DO POTOSI,AVENIDA GOVERNADOR LUIZ ROCHA,210,65.800-000,BALSAS,TV CERRADO,DEMAIS,15/06/2011,Sociedade Empresária Limitada,MA,13.806.266/0001-78,2020-07-04T23:59:59.000Z,OK,,,,,"[{'text': 'Atividades de rádio', 'code': '60.10-1-00'}, {'text': 'Atividades relacionadas à televisão por assinatura, exceto programadoras', 'code': '60.22-5-02'}]",100000.0,"[{'qual': '49-Sócio-Administrador', 'nome': 'CLOVIS VICENTE RIBEIRO'}, {'qual': '22-Sócio', 'nome': 'EDNARA COSTA PIRES'}]",,60.21-7-00,1,"['Atividades de rádio', 'Atividades relacionadas à televisão por assinatura, exceto programadoras']",1,1,206-2,9,1,"['CLOVIS VICENTE RIBEIRO', 'EDNARA COSTA PIRES']",2
Serviços de assistência social sem alojamento,18/12/2018,MATRIZ,FUNDACAO ANTONIO GOMES DOS SANTOS,,(084) 2235-421 / (084) 2235-421,,ATIVA,LAGOA SECA,RUA SAO JOSE,1557,59.031-630,NATAL,,DEMAIS,14/02/2001,Fundação Privada,RN,04.328.832/0001-92,2020-07-04T23:59:59.000Z,OK,,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",0.0,"[{'qual': '16-Presidente', 'nome': 'ANTONIO CARLOS JESUS DOS SANTOS'}, {'qual': '10-Diretor', 'nome': 'ERICA SIMARA SILVA DE ASSIS'}, {'qual': '10-Diretor', 'nome': 'ALBERTO AULIO MEDEIROS NELSON'}, {'qual': '10-Diretor', 'nome': 'ABEL SILVINO DO MONTE'}, {'qual': '10-Diretor', 'nome': 'WALQUIRIA DE OLIVEIRA DOS SANTOS SOUZA'}, {'qual': '10-Diretor', 'nome': 'JOSEFA LUCIA BARROS MOREIRA'}, {'qual': '10-Diretor', 'nome': 'JOAO ALVES DE CARVALHO BASTOS'}, {'qual': '10-Diretor', 'nome': 'RAQUELSON DOS SANTOS LINS'}, {'qual': '10-Diretor', 'nome': 'AIRTON SAVIO MEDEIROS NELSON'}, {'qual': '10-Diretor', 'nome': 'CARLOS AUGUSTO TESSIO'}, {'qual': '10-Diretor', 'nome': 'RAFAEL DE MACEDO RAULINO'}]",,88.00-6-00,0,[],1,1,306-9,19,1,"['ABEL SILVINO DO MONTE', 'AIRTON SAVIO MEDEIROS NELSON', 'ALBERTO AULIO MEDEIROS NELSON', 'ANTONIO CARLOS JESUS DOS SANTOS', 'CARLOS AUGUSTO TESSIO', 'ERICA SIMARA SILVA DE ASSIS', 'JOAO ALVES DE CARVALHO BASTOS', 'JOSEFA LUCIA BARROS MOREIRA', 'RAFAEL DE MACEDO RAULINO', 'RAQUELSON DOS SANTOS LINS', 'WALQUIRIA DE OLIVEIRA DOS SANTOS SOUZA']",11
Atividades de televisão aberta,16/11/2002,MATRIZ,FUNDACAO TELEVISAO E RADIO CULTURA DO AMAZONAS,,(92) 3215-4757 / (92) 3215-4735 / (92) 3215-4759,gabinete@tvencontrodasaguas.am.gov.br,ATIVA,CENTRO,AVENIDA BARCELOS,524,69.025-280,MANAUS,TV E RADIO ENCONTRO DAS AGUAS - FUNTEA,DEMAIS,21/09/1994,Fundação Pública de Direito Público Estadual ou do Distrito Federal,AM,84.664.796/0001-77,2020-07-04T23:59:59.000Z,OK,,,,,"[{'text': 'Atividades de rádio', 'code': '60.10-1-00'}, {'text': 'Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente', 'code': '59.11-1-99'}, {'text': 'Outras atividades de prestação de serviços de informação não especificadas anteriormente', 'code': '63.99-2-00'}]",0.0,[],,60.21-7-00,1,"['Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente', 'Atividades de rádio', 'Outras atividades de prestação de serviços de informação não especificadas anteriormente']",1,1,114-7,25,0,[],0
Administração pública em geral,12/12/2003,MATRIZ,MUNICIPIO DE SAO JOSE DO MANTIMENTO,MUNICÍPIO DE SAO JOSE DO MANTIMENTO,,,ATIVA,,R MARCIONIL LOUBACK,25,36.990-000,SAO JOSE DO MANTIMENTO,SAO JOSE DO MANTIMENTO PREF GABINETE DO PREFEITO,DEMAIS,17/12/1974,Município,MG,18.392.514/0001-03,2020-08-12T13:50:39.947Z,OK,PREFEITURA MUNICIP,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",0.0,[],,84.11-6-00,0,[],1,1,124-4,45,0,[],0
Atividades de televisão aberta,27/08/2005,MATRIZ,TELEVISAO RIVIERA LTDA,,(62) 3250-1118/ (62) 9687-6082,sebastiao.pereira@gjccorp.com.br,ATIVA,SETOR INDUSTRIAL,R DO CORREDOR,S/N,75.905-035,RIO VERDE,TV ANHANGUERA,DEMAIS,28/12/1984,Sociedade Empresária Limitada,GO,01.073.899/0001-35,2020-08-04T18:30:35.156Z,OK,,,,,"[{'text': 'Atividades de rádio', 'code': '60.10-1-00'}, {'text': 'Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet', 'code': '63.11-9-00'}, {'text': 'Portais, provedores de conteúdo e outros serviços de informação na internet', 'code': '63.19-4-00'}, {'text': 'Outras atividades de publicidade não especificadas anteriormente', 'code': '73.19-0-99'}]",1266774.0,"[{'qual': '05-Administrador', 'nome': 'RICARDO CAMILO CAMARA'}, {'qual': '22-Sócio', 'qual_rep_legal': '05-Administrador', 'nome_rep_legal': 'JAIME CAMARA JUNIOR', 'nome': 'ARAGUAIA-PARTICIPACAO E ADMINISTRACAO LTDA'}, {'qual': '22-Sócio', 'qual_rep_legal': '05-Administrador', 'nome_rep_legal': 'JAIME CAMARA JUNIOR', 'nome': 'M-4 PARTICIPACOES E INVESTIMENTOS LTDA'}, {'qual': '05-Administrador', 'nome': 'LARISSA RORIZ CAMARA GUIMARAES'}]",,60.21-7-00,1,"['Atividades de rádio', 'Outras atividades de publicidade não especificadas anteriormente', 'Portais, provedores de conteúdo e outros serviços de informação na internet', 'Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet']",1,1,206-2,35,1,"['ARAGUAIA-PARTICIPACAO E ADMINISTRACAO LTDA', 'LARISSA RORIZ CAMARA GUIMARAES', 'M-4 PARTICIPACOES E INVESTIMENTOS LTDA', 'RICARDO CAMILO CAMARA']",4
Administração pública em geral,03/11/2005,MATRIZ,MUNICIPIO DE JANDAIA,MUNICÍPIO DE JANDAIA,(062) 5631-260 / (062) 5631-260,,ATIVA,CENTRO,AVENIDA JUSCELINO K. DE OLIVEIRA,742,75.950-000,JANDAIA,PREFEITURA DE JANDAIA,DEMAIS,26/01/1981,Município,GO,02.879.138/0001-38,2020-07-04T23:59:59.000Z,OK,PREFEITURA,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",0.0,[],,84.11-6-00,0,[],1,1,124-4,39,0,[],0
Administração pública em geral,18/12/2004,MATRIZ,MUNICIPIO DE BOM JARDIM DA SERRA,MUNICÍPIO DE BOM JARDIM DA SERRA,(049) 2320-196,,ATIVA,CENTRO - SEDE,R MANOEL CECILIO RIBEIRO,68,88.640-000,BOM JARDIM DA SERRA,BOM JARDIM DA SERRA PREF GABINETE DO PREFEITO,DEMAIS,18/12/1974,Município,SC,82.844.754/0001-92,2020-07-13T16:44:03.536Z,OK,PREDIO,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",0.0,[],,84.11-6-00,0,[],1,1,124-4,45,0,[],0
Atividades de televisão aberta,24/09/2005,MATRIZ,TV SERRA AZUL LTDA,,(41) 3052-8989 / (31) 3225-9555,guilherme@tvci.com.br,ATIVA,ESTORIL,AVENIDA RAJA GABAGLIA,3100,30.494-310,BELO HORIZONTE,,DEMAIS,02/10/2002,Sociedade Empresária Limitada,MG,05.341.959/0001-04,2020-07-04T23:59:59.000Z,OK,ANDAR 2 SALA 201,,,,"[{'text': 'Outras sociedades de participação, exceto holdings', 'code': '64.63-8-00'}]",100000.0,"[{'qual': '49-Sócio-Administrador', 'nome': 'MARCOS ANTONIO ALBERTI'}, {'qual': '49-Sócio-Administrador', 'nome': 'ADEMAR EUCLIDES MONTEIRO'}]",,60.21-7-00,1,"['Outras sociedades de participação, exceto holdings']",1,1,206-2,17,1,"['ADEMAR EUCLIDES MONTEIRO', 'MARCOS ANTONIO ALBERTI']",2
Atividades de rádio,24/09/2005,MATRIZ,RADIO TV DO MARANHAO LTDA,,(98) 2109-7752/ (98) 2109-7785,contabilidade@grupozildenifalcao.com.br,ATIVA,AREINHA,AV DOS AFRICANOS,77,65.032-075,SAO LUIS,RADIO SAO LUIS,EMPRESA DE PEQUENO PORTE,21/10/1980,Sociedade Empresária Limitada,MA,06.339.501/0001-83,2020-08-26T04:37:22.542Z,OK,ANDAR: 1º;,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",0.0,"[{'qual': '49-Sócio-Administrador', 'nome': 'ZILDENI FALCAO DE OLIVEIRA'}, {'qual': '22-Sócio', 'nome': 'IEDA MARIA ALMEIDA FALCAO DE OLIVEIRA'}]",,60.10-1-00,0,[],1,1,206-2,39,1,"['IEDA MARIA ALMEIDA FALCAO DE OLIVEIRA', 'ZILDENI FALCAO DE OLIVEIRA']",2
Administração pública em geral,31/01/2004,MATRIZ,MUNICIPIO DE SILVIANOPOLIS,MUNICÍPIO DE SILVIANOPOLIS,(35) 3451-1200,,ATIVA,CENTRO,AVENIDA DR JOSE MAGALHAES CARNEIRO,33,37.560-000,SILVIANOPOLIS,SILVIANOPOLIS GAB PREFEITO,DEMAIS,19/12/1974,Município,MG,18.675.942/0001-35,2020-07-04T23:59:59.000Z,OK,,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",0.0,[],,84.11-6-00,0,[],1,1,124-4,45,0,[],0
Administração pública em geral,25/10/2003,MATRIZ,MUNICIPIO DE SIMAO PEREIRA,MUNICÍPIO DE SIMAO PEREIRA,,,ATIVA,CENTRO,R DR DUARTE DE ABREU,90,36.123-000,SIMAO PEREIRA,SIMAO PEREIRA GABINETE PREFEITO,DEMAIS,30/12/1974,Município,MG,18.338.293/0001-87,2020-08-24T19:59:45.526Z,OK,,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",0.0,[],,84.11-6-00,0,[],1,1,124-4,45,0,[],0
Atividades de televisão aberta,26/02/2005,MATRIZ,CANAL 21 S/S LTDA,,,,ATIVA,CENTRO,RUA CARLOS CAVALCANTI,79,86.200-000,IBIPORA,RADIO E TELEVISAO RIO,MICRO EMPRESA,25/11/1993,Sociedade Simples Limitada,PR,73.777.831/0001-48,2020-07-04T23:59:59.000Z,OK,,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",60000.0,"[{'qual': '49-Sócio-Administrador', 'nome': 'DARCI VIEIRA'}, {'qual': '22-Sócio', 'nome': 'DIEGO CESAR VIEIRA'}]",,60.21-7-00,0,[],1,1,224-0,26,1,"['DARCI VIEIRA', 'DIEGO CESAR VIEIRA']",2
Administração pública em geral,28/10/2005,MATRIZ,MUNICIPIO DE CORTES,MUNICÍPIO DE CORTES,,,ATIVA,,RUA CEL JOSE BELARMINO,48,55.525-000,CORTES,CORTES GABINETE PREFEITO,DEMAIS,30/12/1974,Município,PE,10.273.548/0001-69,2020-07-04T23:59:59.000Z,OK,,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",0.0,[],,84.11-6-00,0,[],1,1,124-4,45,0,[],0
Administração pública em geral,04/06/2005,MATRIZ,MUNICIPIO DE PALMAS,MUNICÍPIO DE PALMAS,,,ATIVA,CENTRO,AV CLEVELANDIA,521,85.555-000,PALMAS,PALMAS PREFEITURA,DEMAIS,26/12/1974,Município,PR,76.161.181/0001-08,2020-07-20T20:17:11.061Z,OK,,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",0.0,[],,84.11-6-00,0,[],1,1,124-4,45,0,[],0
Atividades de televisão aberta,03/11/2005,MATRIZ,RADIO E TELEVISAO EDUCATIVA DO PARANA TVE,,,,ATIVA,MERCES,RUA JULIO PERNETA,695,80.810-110,CURITIBA,,DEMAIS,22/07/1987,Autarquia Estadual ou do Distrito Federal,PR,80.234.537/0001-55,2020-07-04T23:59:59.000Z,OK,,,,,"[{'text': 'Atividades de rádio', 'code': '60.10-1-00'}, {'text': 'Gestão de espaços para artes cênicas, espetáculos e outras atividades artísticas', 'code': '90.03-5-00'}]",0.0,[],,60.21-7-00,1,"['Atividades de rádio', 'Gestão de espaços para artes cênicas, espetáculos e outras atividades artísticas']",1,1,111-2,33,0,[],0
********,09/10/2018,MATRIZ,ASSOCIACAO COMUNITARIA DA REGIAO LITORANEA DE BOA VIAGEM,,,,INAPTA,ZONA RURAL,POV PORTO DO MATO,S/N,49.200-000,ESTANCIA,,DEMAIS,25/07/1985,Associação Privada,SE,13.365.507/0001-90,2020-07-04T23:59:59.000Z,OK,,OMISSAO DE DECLARACOES,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",0.0,"[{'qual': '16-Presidente', 'nome': 'JOSE CARLOS DE OLIVEIRA DORIA'}]",,00.00-0-00,0,[],0,1,399-9,35,1,['JOSE CARLOS DE OLIVEIRA DORIA'],1
Atividades de associações de defesa de direitos sociais,16/02/2007,MATRIZ,FUNSEC - FUNDACAO CULTURAL E EDUCATIVA SENADOR CANEDO,,(62) 3092-4222,,ATIVA,CENTRO,RUA ADEMAR DE BARROS,SN,75.250-005,SENADOR CANEDO,,DEMAIS,02/08/2001,Fundação Privada,GO,04.644.419/0001-37,2020-07-04T23:59:59.000Z,OK,QUADRA 02 LOTE 01,,,,"[{'text': 'Atividades de organizações associativas ligadas à cultura e à arte', 'code': '94.93-6-00'}, {'text': 'Atividades associativas não especificadas anteriormente', 'code': '94.99-5-00'}]",0.0,"[{'qual': '16-Presidente', 'nome': 'DIVINO ANTONIO DE PAULA'}, {'qual': '10-Diretor', 'nome': 'LAYANNE VIRGINIA DE SOUSA CARVALHO'}, {'qual': '10-Diretor', 'nome': 'CRISLENE PEREIRA DE MENEZES'}]",,94.30-8-00,1,"['Atividades associativas não especificadas anteriormente', 'Atividades de organizações associativas ligadas à cultura e à arte']",1,1,306-9,19,1,"['CRISLENE PEREIRA DE MENEZES', 'DIVINO ANTONIO DE PAULA', 'LAYANNE VIRGINIA DE SOUSA CARVALHO']",3
Atividades de televisão aberta,03/11/2005,MATRIZ,SISTEMA LAGEADO DE COMUNICACAO LTDA,,(62) 3587-1110 / (62) 3587-1110 / (62) 3587-1110,,ATIVA,CIDADE VERA CRUZ,AVENIDA SEGUNDA AVENIDA,S/N,74.935-900,APARECIDA DE GOIANIA,,MICRO EMPRESA,17/02/1998,Sociedade Empresária Limitada,GO,02.388.774/0001-67,2020-07-04T23:59:59.000Z,OK,QUADRA1 B LOTE 59 EDIF MARFIM SALA 03 ANDAR TERREO COND CIDADE EMPRESARIAL,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",47500.0,"[{'qual': '22-Sócio', 'nome': 'FABRICIO LOPES DA LUZ'}, {'qual': '22-Sócio', 'nome': 'LUCI LEDRA'}]",,60.21-7-00,0,[],1,1,206-2,22,1,"['FABRICIO LOPES DA LUZ', 'LUCI LEDRA']",2
Administração pública em geral,06/02/2004,MATRIZ,MUNICIPIO DE SENADOR AMARAL,MUNICÍPIO DE SENADOR AMARAL,(35) 3437-1137 / (35) 3437-1216,samaral@micropic.com.br,ATIVA,LOTEAMENTO ELISA BUENO,AVENIDA VEREADOR JOSE ALVES DE REZENDE,34,37.615-000,SENADOR AMARAL,MUNICIPIO DE SENADOR AMARAL,DEMAIS,10/08/1992,Município,MG,41.778.556/0001-90,2020-07-04T23:59:59.000Z,OK,,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",0.0,[],,84.11-6-00,0,[],1,1,124-4,28,0,[],0
